STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2009
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2010
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2011
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2012
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2013
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2014
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2015
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2016
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2017
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2018
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2019
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2020
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2021
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,CAN,Canada,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,LUX,Luxembourg,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2013
Current well-being by age,LUX,Luxembourg,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2018
Current well-being by age,LUX,Luxembourg,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2021
Current well-being by age,LUX,Luxembourg,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2022
Current well-being by age,SWE,Sweden,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Middle-aged,Civic engagement,2012
Current well-being by age,SWE,Sweden,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Middle-aged,Civic engagement,2021
Current well-being by age,AUT,Austria,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Young,Civic engagement,2012
Current well-being by age,AUT,Austria,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Young,Civic engagement,2021
Current well-being by age,FRA,France,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2013
Current well-being by age,FRA,France,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2018
Current well-being by age,FRA,France,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2022
Current well-being by age,ITA,Italy,Time spent in social interactions,Hours per week,Young,Social connections,2013
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2010
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2011
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2012
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2013
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2014
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2015
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2016
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2017
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2018
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2019
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2020
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2021
Current well-being by age,MEX,Mexico,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2022
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2012
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2014
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2015
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2016
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2017
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2019
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2020
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2021
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2022
Current well-being by age,SVN,Slovenia,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2014
Current well-being by age,SVN,Slovenia,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2019
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2012
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2014
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2015
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2016
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2017
Current well-being by age,NOR,Norway,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2018
